QueryTaxID,TaxID,Rank,ScientificName
10567,10567,species,Iotapapillomavirus 1
10567,10239,superkingdom,Viruses
10567,2731342,clade,Monodnaviria
10567,2732092,kingdom,Shotokuvirae
10567,2732415,phylum,Cossaviricota
10567,2732421,class,Papovaviricetes
10567,2732533,order,Zurhausenvirales
10567,151340,family,Papillomaviridae
10567,2169595,subfamily,Firstpapillomavirinae
10567,325456,genus,Iotapapillomavirus
QueryTaxID,TaxID,Rank,ScientificName
10568,10568,serotype,Micromys minutus papillomavirus 1
10568,10239,superkingdom,Viruses
10568,2731342,clade,Monodnaviria
10568,2732092,kingdom,Shotokuvirae
10568,2732415,phylum,Cossaviricota
10568,2732421,class,Papovaviricetes
10568,2732533,order,Zurhausenvirales
10568,151340,family,Papillomaviridae
10568,2169595,subfamily,Firstpapillomavirinae
10568,334211,genus,Pipapillomavirus
10568,1176145,species,Pipapillomavirus 2
QueryTaxID,TaxID,Rank,ScientificName
10569,10569,no rank,Reindeer papillomavirus
10569,10239,superkingdom,Viruses
10569,2731342,clade,Monodnaviria
10569,2732092,kingdom,Shotokuvirae
10569,2732415,phylum,Cossaviricota
10569,2732421,class,Papovaviricetes
10569,2732533,order,Zurhausenvirales
10569,151340,family,Papillomaviridae
10569,2169595,subfamily,Firstpapillomavirinae
10569,325454,genus,Deltapapillomavirus
10569,10565,species,Deltapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10570,10570,species,Alphapapillomavirus 12
10570,10239,superkingdom,Viruses
10570,2731342,clade,Monodnaviria
10570,2732092,kingdom,Shotokuvirae
10570,2732415,phylum,Cossaviricota
10570,2732421,class,Papovaviricetes
10570,2732533,order,Zurhausenvirales
10570,151340,family,Papillomaviridae
10570,2169595,subfamily,Firstpapillomavirinae
10570,333750,genus,Alphapapillomavirus
QueryTaxID,TaxID,Rank,ScientificName
10571,10571,species,Bovine papillomavirus
10571,10239,superkingdom,Viruses
10571,2731342,clade,Monodnaviria
10571,2732092,kingdom,Shotokuvirae
10571,2732415,phylum,Cossaviricota
10571,2732421,class,Papovaviricetes
10571,2732533,order,Zurhausenvirales
10571,151340,family,Papillomaviridae
10571,333774,no rank,unclassified Papillomaviridae
10571,333938,clade,non-primate mammal papillomaviruses
QueryTaxID,TaxID,Rank,ScientificName
10573,10573,serotype,human papillomavirus 13
10573,10239,superkingdom,Viruses
10573,2731342,clade,Monodnaviria
10573,2732092,kingdom,Shotokuvirae
10573,2732415,phylum,Cossaviricota
10573,2732421,class,Papovaviricetes
10573,2732533,order,Zurhausenvirales
10573,151340,family,Papillomaviridae
10573,2169595,subfamily,Firstpapillomavirinae
10573,333750,genus,Alphapapillomavirus
10573,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10576,10576,serotype,Pygmy chimpanzee papillomavirus type 1
10576,10239,superkingdom,Viruses
10576,2731342,clade,Monodnaviria
10576,2732092,kingdom,Shotokuvirae
10576,2732415,phylum,Cossaviricota
10576,2732421,class,Papovaviricetes
10576,2732533,order,Zurhausenvirales
10576,151340,family,Papillomaviridae
10576,2169595,subfamily,Firstpapillomavirinae
10576,333750,genus,Alphapapillomavirus
10576,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10577,10577,species,Chaffinch papillomavirus
10577,10239,superkingdom,Viruses
10577,2731342,clade,Monodnaviria
10577,2732092,kingdom,Shotokuvirae
10577,2732415,phylum,Cossaviricota
10577,2732421,class,Papovaviricetes
10577,2732533,order,Zurhausenvirales
10577,151340,family,Papillomaviridae
10577,2169595,subfamily,Firstpapillomavirinae
10577,325458,genus,Etapapillomavirus
10577,1239435,no rank,unclassified Etapapillomavirus
QueryTaxID,TaxID,Rank,ScientificName
